date,time,lat,lng
2017-07-18,11882,21.1963957,105.7718729
2017-07-18,11902,21.196307,105.7718365
2017-07-18,11922,21.1953949,105.7713863
2017-07-18,11942,21.1946994,105.7710189
2017-07-18,11962,21.1940093,105.7709276
2017-07-18,11982,21.1932608,105.7706604
2017-07-18,12002,21.1932118,105.7701759
2017-07-18,12022,21.1933529,105.7698306
2017-07-18,12042,21.1933529,105.7698306
2017-07-18,12062,21.1933529,105.7698306
2017-07-18,12082,21.1933529,105.7698306
2017-07-18,12102,21.1933529,105.7698306
2017-07-18,12122,21.1933529,105.7698306
2017-07-18,12143,21.1933529,105.7698306
2017-07-18,12163,21.1933529,105.7698306
2017-07-18,12183,21.1933529,105.7698306
2017-07-18,12203,21.1933529,105.7698306
2017-07-18,12224,21.1933529,105.7698306
2017-07-18,12244,21.1934142,105.7697534
2017-07-18,12264,21.1934142,105.7697534
2017-07-18,12284,21.1934142,105.7697534
2017-07-18,12304,21.1934142,105.7697534
2017-07-18,12324,21.1934142,105.7697534
2017-07-18,12344,21.1934142,105.7697534
2017-07-18,12364,21.1934142,105.7697534
2017-07-18,12384,21.1934142,105.7697534
2017-07-18,12404,21.1934142,105.7697534
2017-07-18,12424,21.1934142,105.7697534
2017-07-18,12444,21.1934142,105.7697534
2017-07-18,12464,21.1934142,105.7697534
2017-07-18,12484,21.1934142,105.7697534
2017-07-18,12504,21.1934142,105.7697534
2017-07-18,12524,21.1934142,105.7697534
2017-07-18,12565,21.1934142,105.7697534
2017-07-18,12585,21.1934142,105.7697534
2017-07-18,12605,21.1934142,105.7697534
2017-07-18,12645,21.1934142,105.7697534
2017-07-18,12665,21.1934142,105.7697534
2017-07-18,12685,21.1934142,105.7697534
2017-07-18,12705,21.1934142,105.7697534
2017-07-18,12725,21.1933802,105.7698474
2017-07-18,12745,21.1933802,105.7698474
2017-07-18,12765,21.1933802,105.7698474
2017-07-18,12785,21.1933802,105.7698474
2017-07-18,12805,21.1933802,105.7698474
2017-07-18,12826,21.1933802,105.7698474
2017-07-18,12846,21.1933802,105.7698474
2017-07-18,12866,21.1933802,105.7698474
2017-07-18,12886,21.1933802,105.7698474
2017-07-18,12906,21.1933802,105.7698474
2017-07-18,12926,21.1933802,105.7698474
2017-07-18,12946,21.1933802,105.7698474
2017-07-18,12966,21.1933802,105.7698474
2017-07-18,12986,21.1933802,105.7698474
2017-07-18,13006,21.1933802,105.7698474
2017-07-18,13026,21.1933802,105.7698474
2017-07-18,13046,21.1933802,105.7698474
2017-07-18,13066,21.1933802,105.7698474
2017-07-18,13086,21.1933802,105.7698474
2017-07-18,13106,21.1933802,105.7698474
2017-07-18,13126,21.1933802,105.7698474
2017-07-18,13148,21.1933802,105.7698474
2017-07-18,13169,21.1933802,105.7698474
2017-07-18,13189,21.1933802,105.7698474
2017-07-18,13210,21.1933802,105.7698474
